"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.694666687E-3,-2.237696686E0,3.833079071E0,7.487729187E0
8.235333371E-3,-2.305655365E0,3.891457672E0,6.806196442E0
1.816533331E-2,-2.383792877E0,3.609893188E0,6.914421387E0
2.809533337E-2,-2.237097931E0,3.460503845E0,7.663314056E0
3.802633332E-2,-1.988614655E0,3.419040070E0,8.593479767E0
4.795633338E-2,-1.705702972E0,3.157234497E0,9.423354034E0
5.788633332E-2,-1.511556702E0,2.959645386E0,1.004351440E1
6.781633338E-2,-1.476679230E0,2.903811493E0,1.031040939E1
7.774733333E-2,-1.542242889E0,2.787054291E0,1.021805145E1
8.767733339E-2,-1.665586395E0,2.761457520E0,9.892179108E0
9.760733333E-2,-1.751657410E0,2.835553436E0,9.518256683E0
1.075373334E-1,-1.764231262E0,2.939138031E0,9.239536285E0
1.174683333E-1,-1.671873322E0,2.970123596E0,9.037755890E0
1.273983334E-1,-1.443598022E0,2.843486938E0,8.839418335E0
1.373283333E-1,-1.227148132E0,2.727178802E0,8.715625763E0
1.472593334E-1,-9.449848938E-1,2.712359619E0,8.897198181E0
1.571893333E-1,-6.186634827E-1,2.700983276E0,9.399553528E0
1.671193334E-1,-3.296145630E-1,2.739303589E0,9.955497437E0
1.770493333E-1,-4.400848389E-2,2.778522034E0,1.030262558E1
1.869803333E-1,1.047821045E-1,2.784060516E0,1.040381516E1
1.969103334E-1,1.863624573E-1,2.856060791E0,1.028241760E1
2.068403333E-1,2.441423035E-1,2.905757446E0,9.910740509E0
2.167703334E-1,2.356100464E-1,2.905158691E0,9.475894775E0
2.267013333E-1,1.895059204E-1,2.842588806E0,9.043593750E0
2.366313334E-1,7.619155884E-2,2.671943665E0,8.647667084E0
2.465613333E-1,-1.181044006E-1,2.618055725E0,8.500223694E0
2.564913334E-1,-2.625540161E-1,2.597997437E0,8.614885254E0
2.664223333E-1,-3.400927734E-1,2.463726654E0,8.835077362E0
2.763523334E-1,-3.974235535E-1,2.289638672E0,9.065298615E0
2.862823333E-1,-4.188290405E-1,2.198029175E0,9.269024963E0
2.962123334E-1,-4.541555786E-1,2.218087463E0,9.412875824E0
3.061433333E-1,-3.965254211E-1,2.276765442E0,9.496402130E0
3.160733334E-1,-2.650987244E-1,2.313738556E0,9.568103027E0
3.260033333E-1,-1.591191101E-1,2.309547272E0,9.577234039E0
3.359343334E-1,-1.414558411E-1,2.335892487E0,9.526639252E0
3.458643333E-1,-1.477427673E-1,2.404000854E0,9.480684814E0
3.557943334E-1,-1.995350647E-1,2.417023773E0,9.468110962E0
3.657243333E-1,-3.168910217E-1,2.360441437E0,9.470805359E0
3.756553334E-1,-4.300556946E-1,2.249671783E0,9.473350067E0
3.855853333E-1,-5.065466309E-1,2.198927307E0,9.551188202E0
3.955153334E-1,-4.818479919E-1,2.171983337E0,9.618398438E0
4.054453333E-1,-3.930825806E-1,2.239792328E0,9.654922485E0
4.153763334E-1,-2.848576355E-1,2.362537079E0,9.708361359E0
4.253063333E-1,-1.248403931E-1,2.515369263E0,9.728868713E0
4.352363334E-1,2.844085693E-2,2.609074402E0,9.708211670E0
4.451663333E-1,1.092727661E-1,2.595452728E0,9.603878632E0
4.550973333E-1,1.230441284E-1,2.489772491E0,9.401200104E0
4.650273334E-1,-6.586303711E-3,2.446213074E0,9.312434692E0
4.749573333E-1,-1.392105103E-1,2.460134125E0,9.312584381E0
4.848873334E-1,-1.770817566E-1,2.447560272E0,9.349707184E0
4.948183333E-1,-1.669029236E-1,2.342628479E0,9.421108704E0
5.047483334E-1,-1.616638184E-1,2.182910614E0,9.425599365E0
5.146783333E-1,-2.160008240E-1,2.086810455E0,9.452693024E0
5.246093334E-1,-2.579136658E-1,2.118993530E0,9.568402405E0
5.345393333E-1,-2.356100464E-1,2.142195282E0,9.610015869E0
5.444693334E-1,-2.486329651E-1,2.147284698E0,9.647587738E0
5.543993333E-1,-2.866539001E-1,2.155218201E0,9.666298828E0
5.643303334E-1,-3.176394653E-1,2.167492676E0,9.662257233E0
5.742603333E-1,-2.980302429E-1,2.174528046E0,9.664801941E0
5.841903334E-1,-2.890489197E-1,2.147883453E0,9.621242523E0
5.941203333E-1,-3.155438232E-1,2.140698395E0,9.561516724E0
6.040513334E-1,-3.323089600E-1,2.185006256E0,9.469607849E0
6.139813333E-1,-2.868035889E-1,2.303260345E0,9.363179169E0
6.239113334E-1,-1.986369324E-1,2.452200623E0,9.215735779E0
6.338413333E-1,-1.787283325E-1,2.528392181E0,9.133556671E0
6.437723334E-1,-2.520758057E-1,2.549049225E0,9.171278229E0
6.537023333E-1,-3.403921509E-1,2.511028290E0,9.255702667E0
6.636323334E-1,-4.269122314E-1,2.383343811E0,9.340426483E0
6.735623333E-1,-4.743635559E-1,2.256258087E0,9.411977692E0
6.834933334E-1,-5.023553467E-1,2.203118591E0,9.426946564E0
6.934233333E-1,-5.096900940E-1,2.210453339E0,9.451196136E0
7.033533334E-1,-4.468208313E-1,2.233505402E0,9.433832245E0
7.132833333E-1,-3.671864319E-1,2.251617737E0,9.392218781E0
7.232143333E-1,-3.302133179E-1,2.262095947E0,9.381590881E0
7.331443334E-1,-3.321592712E-1,2.291734314E0,9.394164734E0
7.430743333E-1,-3.671864319E-1,2.319426727E0,9.394464111E0
7.530043334E-1,-4.201762390E-1,2.346071320E0,9.420060883E0
7.629353333E-1,-4.571493530E-1,2.340532837E0,9.510472870E0
7.728653334E-1,-4.490661621E-1,2.262245636E0,9.588011627E0
7.827953333E-1,-4.752616882E-1,2.134261780E0,9.635762329E0
7.927263334E-1,-5.640270996E-1,2.077080688E0,9.719887390E0
8.026563333E-1,-6.456074524E-1,2.091151428E0,9.825268250E0
8.125863334E-1,-6.771917725E-1,2.079924774E0,9.849966888E0
8.225163333E-1,-6.586303711E-1,2.083517303E0,9.798174591E0
8.324473334E-1,-5.972579956E-1,2.117646332E0,9.687404938E0
8.423773333E-1,-5.275030518E-1,2.209106140E0,9.508227539E0
8.523073334E-1,-5.122348022E-1,2.364782410E0,9.412127380E0
8.622373333E-1,-5.266049194E-1,2.467319183E0,9.349407806E0
8.721683334E-1,-5.480104065E-1,2.481240234E0,9.354197845E0
8.820983333E-1,-5.117857361E-1,2.434387665E0,9.388326874E0
8.920283334E-1,-4.987628174E-1,2.364932098E0,9.405391388E0
9.019583333E-1,-5.456153870E-1,2.322570190E0,9.459429016E0
9.118893334E-1,-5.742059326E-1,2.292033691E0,9.519753571E0
9.218193333E-1,-5.800437927E-1,2.240391083E0,9.580676880E0
9.317493334E-1,-5.562432861E-1,2.210303650E0,9.606573029E0
9.416793333E-1,-5.635780334E-1,2.211201782E0,9.541009369E0
9.516103334E-1,-5.957611084E-1,2.247276764E0,9.460177460E0
9.615403333E-1,-5.873785400E-1,2.292482758E0,9.407786407E0
9.714703334E-1,-5.622308350E-1,2.315385132E0,9.356443176E0
9.814003333E-1,-5.516029358E-1,2.326162720E0,9.324409790E0
9.913313333E-1,-5.498066711E-1,2.364183655E0,9.318571930E0
1.001261333E0,-5.391787720E-1,2.403551788E0,9.340725861E0
1.011191333E0,-5.381309509E-1,2.395169220E0,9.380692749E0
1.021121333E0,-5.641767883E-1,2.343077545E0,9.426497498E0
1.031052333E0,-6.216572571E-1,2.298170929E0,9.477092285E0
1.040982333E0,-6.727011108E-1,2.276765442E0,9.547895050E0
1.050912333E0,-7.035369873E-1,2.209704895E0,9.561067657E0
1.060843333E0,-7.159611511E-1,2.156415710E0,9.567653961E0
1.070773333E0,-7.357200623E-1,2.142644348E0,9.593400421E0
1.080703333E0,-7.270381165E-1,2.146386566E0,9.626481628E0
1.090633333E0,-6.683601379E-1,2.167492676E0,9.657916260E0
1.100564333E0,-5.749543762E-1,2.222877502E0,9.650132446E0
1.110494333E0,-5.146298218E-1,2.298021240E0,9.633217621E0
1.120424458E0,-4.746629333E-1,2.323767700E0,9.579778748E0
1.130354458E0,-5.125341797E-1,2.275567932E0,9.505682831E0
1.140285458E0,-6.122268677E-1,2.211800537E0,9.463320923E0
1.150215458E0,-7.081773376E-1,2.185904388E0,9.441166992E0
1.160145458E0,-7.523355103E-1,2.191442871E0,9.421857147E0
1.170075458E0,-7.276368713E-1,2.185155945E0,9.433682556E0
1.180006458E0,-6.605763245E-1,2.171384583E0,9.477990417E0
1.189936458E0,-5.830375671E-1,2.189646606E0,9.514364777E0
1.199866458E0,-5.168751526E-1,2.208357697E0,9.501042480E0
1.209796458E0,-5.288502502E-1,2.204316101E0,9.487420807E0
1.219727458E0,-5.792953491E-1,2.153721313E0,9.468709717E0
1.229657458E0,-6.444099426E-1,2.114652557E0,9.437275085E0
1.239587458E0,-7.179071045E-1,2.127076721E0,9.446406097E0
1.249517458E0,-7.411088562E-1,2.133064270E0,9.485624542E0
1.259448458E0,-7.306306458E-1,2.078727264E0,9.500743103E0
