"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.356263334E-1,-5.591770262E-2,2.910479903E-2,2.007078752E-2
7.455563333E-1,-4.709947482E-2,1.851355890E-3,8.573783562E-3
7.554863334E-1,-4.174945131E-2,-2.286384255E-2,-4.325502552E-3
7.654173333E-1,-3.994279727E-2,-4.018849507E-2,-1.276972704E-2
7.753473334E-1,-4.344751686E-2,-3.361314908E-2,-1.075930707E-2
7.852773333E-1,-4.878379032E-2,-1.661063544E-2,5.733248778E-3
7.952083333E-1,-4.896488413E-2,3.867475549E-3,3.018745780E-2
8.051383334E-1,-4.417735711E-2,4.639263079E-2,6.073858589E-2
8.150683333E-1,-3.175610676E-2,8.635522425E-2,9.089888632E-2
8.249983334E-1,-1.404462103E-2,1.149809062E-1,1.141259149E-1
8.349293333E-1,1.198780024E-3,1.183535308E-1,1.244240925E-1
8.448593334E-1,1.069303416E-2,9.440065175E-2,1.161362529E-1
8.547893333E-1,1.911927573E-2,6.338361651E-2,9.493136406E-2
8.647193334E-1,2.250523493E-2,3.447100520E-2,6.841766834E-2
8.746503333E-1,2.112065814E-2,9.647946805E-3,4.627535492E-2
8.845803334E-1,1.378920861E-2,-2.525349380E-3,3.482548520E-2
8.945103333E-1,1.064625569E-3,-7.269770838E-3,3.529287130E-2
9.044403334E-1,-7.766766474E-3,6.047505885E-4,3.689775988E-2
9.143713333E-1,-1.224673539E-2,2.023357898E-2,4.766278714E-2
9.243013334E-1,-1.191591937E-2,3.869746625E-2,5.739750341E-2
9.342313333E-1,-1.035663858E-2,6.421533972E-2,6.763389707E-2
9.441613334E-1,-7.478346117E-3,7.815627009E-2,7.735809684E-2
9.540923333E-1,-3.942466341E-3,7.417137921E-2,7.805904001E-2
9.640223334E-1,-3.295454197E-3,6.449019909E-2,6.555818766E-2
9.739523333E-1,-1.086389180E-2,3.478157520E-2,5.089242756E-2
9.838823334E-1,-1.736924239E-2,4.996216856E-3,3.366567940E-2
9.938133333E-1,-1.789308712E-2,-1.697432995E-2,1.587496512E-2
1.003743333E0,-2.678807639E-2,-2.031685039E-2,-6.671761163E-3
1.013673333E0,-3.506305069E-2,-1.672424562E-2,-2.557247877E-2
1.023603333E0,-4.330999777E-2,-1.261821017E-2,-3.592577577E-2
1.033534333E0,-5.283772200E-2,-3.487030277E-3,-3.592124954E-2
1.043464333E0,-6.277910620E-2,1.573228464E-2,-2.128344774E-2
1.053394333E0,-6.791926920E-2,2.067457885E-2,-8.639264852E-4
1.063325333E0,-7.081857324E-2,6.195417605E-3,1.564813778E-2
1.073255333E0,-6.040001661E-2,-1.162459236E-2,2.788589522E-2
1.083185333E0,-4.542855918E-2,-1.834080368E-2,3.986199573E-2
1.093115333E0,-1.847390644E-2,-1.937570982E-2,3.602677584E-2
