"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.655642006710563E9,"2022-06-19 14:33:26.711 UTC+02:00"
"PAUSE",3.457354269999778E2,1.655642352445931E9,"2022-06-19 14:39:12.446 UTC+02:00"
