"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.939296666E-1,5.643264771E-1,1.569336548E0,9.733059998E0
8.038606667E-1,4.802014160E-1,1.634750519E0,9.706265717E0
8.137926667E-1,4.384382629E-1,1.695524139E0,9.646839294E0
8.237236667E-1,4.315525818E-1,1.707499237E0,9.559870148E0
8.336546667E-1,4.385879517E-1,1.738035736E0,9.526190186E0
8.435866666E-1,3.814068604E-1,1.769470367E0,9.491462402E0
8.535176667E-1,3.335064697E-1,1.777104492E0,9.477691040E0
8.634496666E-1,3.038681030E-1,1.703607330E0,9.483828278E0
8.733806667E-1,3.394940186E-1,1.592089233E0,9.507030029E0
8.833126667E-1,3.725752258E-1,1.550176392E0,9.559570770E0
8.932437917E-1,4.080514526E-1,1.586999817E0,9.629625092E0
9.031757916E-1,4.317022705E-1,1.677262115E0,9.751621399E0
9.131067917E-1,4.309538269E-1,1.739083557E0,9.835147705E0
9.230377916E-1,4.278103638E-1,1.722168732E0,9.826465759E0
9.329697917E-1,4.135899353E-1,1.681453400E0,9.791887665E0
9.429007916E-1,3.806584167E-1,1.645079041E0,9.743687897E0
9.528327916E-1,3.558100891E-1,1.614392853E0,9.665251007E0
9.627637917E-1,3.272195435E-1,1.591640167E0,9.653724976E0
9.726957916E-1,3.240760803E-1,1.600471802E0,9.706864471E0
9.826267917E-1,3.400927734E-1,1.624272308E0,9.721533966E0
9.925577916E-1,3.890409851E-1,1.640738068E0,9.700577545E0
1.002489792E0,4.132905579E-1,1.678609314E0,9.726773071E0
1.012420792E0,3.987707520E-1,1.725910950E0,9.742340698E0
1.022352792E0,3.547622681E-1,1.749112701E0,9.677675171E0
1.032283792E0,3.290158081E-1,1.698667603E0,9.504934387E0
1.042215792E0,3.025209045E-1,1.706601105E0,9.385931854E0
1.052146792E0,3.149450684E-1,1.778152313E0,9.370513916E0
1.062077792E0,4.005670166E-1,1.883533173E0,9.392368469E0
1.072009792E0,4.602928162E-1,1.948947144E0,9.415270844E0
1.081940792E0,4.093986511E-1,1.969304810E0,9.522897034E0
1.091872792E0,3.860472107E-1,1.896705780E0,9.757459259E0
1.101803792E0,3.832031250E-1,1.755249939E0,9.963131561E0
1.111735792E0,3.162922668E-1,1.703607330E0,1.018182678E1
1.121666792E0,2.734812927E-1,1.717528381E0,1.029783554E1
1.131598792E0,2.665956116E-1,1.618883514E0,1.025382706E1
1.141529792E0,2.809657288E-1,1.484762421E0,9.977950745E0
1.151460792E0,2.656974792E-1,1.407223663E0,9.559570770E0
1.161392792E0,3.058140564E-1,1.379680939E0,9.211694183E0
1.171323792E0,3.207829285E-1,1.422791290E0,9.004974060E0
1.181255792E0,2.582130432E-1,1.568288727E0,8.954079895E0
1.191186792E0,9.714797974E-2,1.777703247E0,8.984167328E0
1.201118792E0,-1.019380188E-1,2.013612671E0,9.122629395E0
1.211049792E0,-1.767823792E-1,2.139949951E0,9.292526093E0
1.220980792E0,-9.086105347E-2,2.097588043E0,9.461973724E0
1.230912792E0,7.050338745E-2,1.963167572E0,9.624835052E0
1.240843792E0,2.392025757E-1,1.836081848E0,9.724078674E0
1.250775792E0,3.823049927E-1,1.719324646E0,9.731712799E0
1.260706792E0,4.578977966E-1,1.555864563E0,9.722132721E0
1.270638792E0,4.971162415E-1,1.350192261E0,9.685458984E0
1.280569792E0,5.107379150E-1,1.134939880E0,9.619895325E0
1.290500792E0,4.424798584E-1,1.085692291E0,9.531578979E0
1.300432792E0,3.442840576E-1,1.177900543E0,9.490115204E0
1.310363792E0,3.064128113E-1,1.350341949E0,9.507329407E0
