"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.655641427381777E9,"2022-06-19 14:23:47.382 UTC+02:00"
"PAUSE",3.206055720000295E2,1.655641747985371E9,"2022-06-19 14:29:07.985 UTC+02:00"
