"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.182766666E-2,-2.968358994E-1,-8.189092278E-1,-2.503902316E-1
2.175966662E-2,-4.541358948E-1,-1.020398617E0,-2.097164243E-1
3.169066668E-2,-5.503398776E-1,-1.221228600E0,-1.270471066E-1
4.162266664E-2,-5.903680921E-1,-1.423767328E0,-1.505311485E-2
5.155366671E-2,-5.962520838E-1,-1.659829378E0,1.025408953E-1
6.148466666E-2,-6.132966280E-1,-1.886476755E0,1.964568943E-1
7.141666661E-2,-6.923720241E-1,-2.006127834E0,2.410326153E-1
8.134766668E-2,-7.773802876E-1,-2.046769619E0,2.758523524E-1
9.127966664E-2,-8.744647503E-1,-2.085521221E0,2.774555683E-1
1.012106667E-1,-9.652887583E-1,-2.157191992E0,2.432426959E-1
1.111426667E-1,-1.048063278E0,-2.187389612E0,1.843042672E-1
1.210736666E-1,-1.127892017E0,-2.088786364E0,9.202913195E-2
1.310056667E-1,-1.212280035E0,-1.894695163E0,6.375211757E-3
1.409366666E-1,-1.293008924E0,-1.685901046E0,-6.505426764E-2
1.508676667E-1,-1.351576567E0,-1.511796117E0,-1.092949659E-1
1.607996667E-1,-1.363818407E0,-1.389313579E0,-1.465976834E-1
1.707306666E-1,-1.310171962E0,-1.299245238E0,-1.919188201E-1
1.806626667E-1,-1.202243209E0,-1.192285657E0,-2.468625754E-1
1.905936666E-1,-1.054329991E0,-1.040144086E0,-3.039226830E-1
2.005256667E-1,-8.981515765E-1,-8.775855303E-1,-3.399913311E-1
2.104566667E-1,-7.400759459E-1,-7.592461109E-1,-3.659129441E-1
2.203876667E-1,-5.885961652E-1,-7.016887665E-1,-3.761912584E-1
2.303196667E-1,-4.603583217E-1,-6.774521470E-1,-3.668217063E-1
2.402506666E-1,-3.788558543E-1,-6.450937986E-1,-3.317245245E-1
2.501826667E-1,-3.296116292E-1,-6.307364106E-1,-2.795452178E-1
2.601136666E-1,-3.211509883E-1,-6.394139528E-1,-2.183563113E-1
2.700456666E-1,-3.381491601E-1,-6.749203205E-1,-1.809415519E-1
2.799766667E-1,-3.540843427E-1,-7.443059683E-1,-1.604152620E-1
2.899076666E-1,-3.637588024E-1,-7.882854342E-1,-1.156027988E-1
2.998396667E-1,-3.735200465E-1,-7.554500699E-1,-6.604423374E-2
3.097706666E-1,-3.959582448E-1,-7.417859435E-1,-4.313865304E-2
3.197026667E-1,-4.119827747E-1,-7.946887016E-1,-2.593295276E-2
3.296336667E-1,-4.217890799E-1,-8.470776081E-1,-8.875939064E-3
3.395656666E-1,-4.112097025E-1,-8.685583472E-1,1.242774539E-2
3.494966667E-1,-3.708662689E-1,-8.708089590E-1,4.697453976E-2
3.594286666E-1,-3.121795058E-1,-8.510469794E-1,1.088118032E-1
3.693596667E-1,-2.605519891E-1,-7.673280835E-1,1.717745364E-1
3.792906667E-1,-2.143751234E-1,-5.745180845E-1,2.438587546E-1
3.892226666E-1,-1.881200820E-1,-2.242319733E-1,3.494560122E-1
3.991536667E-1,-2.182974368E-1,2.092156857E-1,4.366585612E-1
4.090856666E-1,-3.159161210E-1,4.774881601E-1,4.413462579E-1
4.190166667E-1,-4.506743550E-1,4.344517589E-1,3.710027039E-1
4.289486667E-1,-5.874101520E-1,2.221038193E-1,2.560537457E-1
4.388796666E-1,-6.837306619E-1,5.142559111E-2,1.532330662E-1
4.488106667E-1,-7.043504715E-1,-2.316733822E-3,1.147863418E-1
4.587426666E-1,-6.608552337E-1,3.473714367E-2,1.326666325E-1
4.686736667E-1,-5.613238811E-1,6.349129230E-2,1.939696670E-1
4.786056667E-1,-4.348762929E-1,4.868550226E-2,2.679874301E-1
4.885366666E-1,-3.178245127E-1,4.167206585E-2,3.409178555E-1
4.984686667E-1,-2.162719369E-1,5.202993006E-2,4.126194417E-1
5.083996666E-1,-1.718887538E-1,9.462054074E-2,4.667197168E-1
5.183306667E-1,-1.636503339E-1,9.359449148E-2,4.843653440E-1
5.282626667E-1,-1.858616322E-1,-1.151861250E-2,4.658840597E-1
5.381936666E-1,-2.180977464E-1,-1.451056600E-1,4.273960292E-1
5.481256667E-1,-2.355076373E-1,-2.384915352E-1,3.835854232E-1
5.580566666E-1,-2.366618961E-1,-2.682507932E-1,3.539301753E-1
5.679886667E-1,-2.213029116E-1,-2.486440539E-1,3.299728930E-1
5.779196667E-1,-2.006692290E-1,-2.099514306E-1,3.037293553E-1
5.878516666E-1,-1.770802736E-1,-1.487005800E-1,2.812395096E-1
5.977826667E-1,-1.679095626E-1,-5.578507110E-2,2.618103921E-1
6.077136666E-1,-1.770703048E-1,1.715598255E-2,2.134455144E-1
6.176456667E-1,-1.977000535E-1,2.354389802E-2,1.361644864E-1
6.275766667E-1,-2.133298665E-1,-4.955122713E-3,5.089005828E-2
6.375086666E-1,-2.066942751E-1,-2.300395817E-2,-1.196724549E-2
6.474396667E-1,-1.729472280E-1,-1.251616329E-2,-2.964664064E-2
6.573716666E-1,-1.085376963E-1,-3.761232365E-3,-1.367815677E-2
6.673026667E-1,-3.927447274E-2,1.287313737E-2,1.258513890E-2
6.772336666E-1,2.480187081E-2,5.674583837E-2,2.767010592E-2
6.871656667E-1,7.271319628E-2,1.221924871E-1,2.301143855E-2
6.970966667E-1,8.850085735E-2,1.713355035E-1,-1.127570868E-4
7.070286666E-1,7.560610026E-2,1.718705297E-1,-3.381612524E-2
7.169596667E-1,4.504249245E-2,1.394885033E-1,-6.517975032E-2
7.268916667E-1,8.306317031E-3,9.913468361E-2,-7.638712972E-2
7.368226667E-1,-1.475196704E-2,5.014677718E-2,-7.115624845E-2
7.467546667E-1,-2.615935169E-2,1.540770568E-2,-5.044351518E-2
7.566856666E-1,-2.857911587E-2,9.666016325E-3,-3.072441369E-2
7.666166667E-1,-2.627974190E-2,2.554777823E-2,-1.979959384E-2
7.765486666E-1,-1.888500154E-2,4.623306543E-2,-2.254217491E-2
7.864796667E-1,-1.108513493E-2,6.478624046E-2,-3.196070716E-2
7.964116667E-1,5.368473474E-3,8.615048975E-2,-3.819710761E-2
8.063426666E-1,1.988296770E-2,1.054251194E-1,-3.520264477E-2
8.162746667E-1,1.385725383E-2,1.230383590E-1,-3.045268171E-2
8.262056666E-1,-1.275464892E-2,1.223262325E-1,-2.571625076E-2
8.361366667E-1,-4.945829883E-2,1.190428361E-1,-2.251388878E-2
8.460686667E-1,-8.225352317E-2,1.137061268E-1,-1.584000513E-2
8.559996666E-1,-1.044888273E-1,9.442242980E-2,-2.318516374E-3
8.659316667E-1,-1.124841720E-1,5.243770033E-2,1.003961638E-2
8.758626666E-1,-1.121062934E-1,2.086805180E-2,2.109372057E-2
8.857946667E-1,-1.056715623E-1,3.322458640E-2,2.163913473E-2
8.957257917E-1,-9.697647393E-2,5.951935798E-2,1.414327882E-2
9.056577916E-1,-8.137168735E-2,7.169240713E-2,-6.396621466E-4
9.155887917E-1,-6.265173852E-2,8.533845842E-2,-1.778237149E-2
9.255197917E-1,-3.300462663E-2,9.800179303E-2,-3.067073971E-2
9.354517916E-1,1.211796189E-3,9.519574046E-2,-4.347736388E-2
9.453827917E-1,3.849072754E-2,7.962929457E-2,-5.610900000E-2
9.553147916E-1,6.761001050E-2,4.670481756E-2,-6.166487932E-2
9.652457917E-1,9.245809913E-2,3.028177656E-3,-6.264065951E-2
9.751777917E-1,1.130708084E-1,-1.536535285E-2,-5.776617676E-2
9.851087916E-1,1.217322052E-1,-6.380113773E-3,-5.410912260E-2
9.950397917E-1,1.225406006E-1,5.351960659E-3,-5.730104446E-2
1.004971792E0,1.165961623E-1,3.990286496E-3,-5.956233293E-2
1.014902792E0,1.092933118E-1,3.135874635E-3,-6.403371692E-2
1.024834792E0,9.890778363E-2,-1.845543738E-4,-5.470013618E-2
1.034765792E0,8.469215035E-2,7.746450137E-4,-4.468486458E-2
1.044697792E0,5.958893150E-2,-5.739979446E-3,-3.347881511E-2
1.054628792E0,2.728866041E-2,-3.723882139E-2,-3.715196252E-2
1.064559792E0,-3.943559714E-3,-6.055453047E-2,-6.164479256E-2
1.074491792E0,-2.752898633E-2,-8.518422395E-2,-8.579054475E-2
1.084422792E0,-4.366401583E-2,-1.370144039E-1,-1.055461392E-1
1.094354792E0,-3.518262133E-2,-1.607703269E-1,-1.141227111E-1
1.104285792E0,-5.780525040E-3,-1.235537082E-1,-1.130265519E-1
1.114217792E0,2.684674039E-2,-2.107409015E-2,-9.314316511E-2
1.124148792E0,5.053396150E-2,1.059637517E-1,-5.691006035E-2
1.134080792E0,6.401234120E-2,2.235125303E-1,-7.096848451E-3
1.144011792E0,6.510823220E-2,3.549022377E-1,5.074115098E-2
1.153942792E0,4.539423808E-2,4.270379543E-1,9.334885329E-2
1.163874792E0,2.259018365E-3,3.918583989E-1,1.071914360E-1
1.173805792E0,-6.262487918E-2,2.455242872E-1,8.854146302E-2
