"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.132030000E-1,-1.053808594E0,3.497327271E0,9.143286438E0
8.231350000E-1,-1.105002136E0,3.551514587E0,9.115594025E0
8.330660000E-1,-1.092577972E0,3.653153229E0,9.076375580E0
8.429970000E-1,-9.946815491E-1,3.655847626E0,8.962013397E0
8.529290000E-1,-9.291178894E-1,3.584745483E0,8.917855225E0
8.628600000E-1,-9.020242310E-1,3.559897156E0,8.922495575E0
8.727909999E-1,-9.117539978E-1,3.614533539E0,8.951684875E0
8.827230000E-1,-9.457333374E-1,3.679348755E0,8.978628845E0
8.926540000E-1,-9.557624817E-1,3.744014282E0,9.014853516E0
9.025850000E-1,-9.189390564E-1,3.709585876E0,8.970845032E0
9.125170000E-1,-9.065148926E-1,3.606749725E0,8.915609894E0
9.224479999E-1,-9.410929871E-1,3.568130035E0,8.963210907E0
9.323800000E-1,-9.653425598E-1,3.572471008E0,9.083410950E0
9.423110000E-1,-9.548643494E-1,3.596121826E0,9.192983093E0
9.522420000E-1,-9.018745422E-1,3.617078247E0,9.228908386E0
9.621740000E-1,-8.881031799E-1,3.586242371E0,9.246871033E0
9.721050001E-1,-8.888516235E-1,3.533851318E0,9.241033173E0
9.820360000E-1,-8.725355530E-1,3.511996765E0,9.200168152E0
9.919680000E-1,-8.698411560E-1,3.544928284E0,9.121880951E0
1.001899000E0,-8.717871094E-1,3.633993073E0,9.079818420E0
1.011830000E0,-8.693920898E-1,3.705544281E0,9.028924255E0
1.021762000E0,-8.659492493E-1,3.736380157E0,8.965755615E0
1.031693000E0,-8.580157471E-1,3.729045410E0,8.925489349E0
1.041625000E0,-8.800199890E-1,3.672163696E0,8.941056976E0
1.051556000E0,-9.093589783E-1,3.622766418E0,8.970994720E0
1.061487000E0,-9.517208862E-1,3.587439880E0,9.033714294E0
1.071419000E0,-9.782157898E-1,3.593128052E0,9.075477448E0
1.081350000E0,-9.792636108E-1,3.596570892E0,9.078171844E0
1.091281000E0,-9.698332214E-1,3.606600037E0,9.090596008E0
1.101213000E0,-9.623487854E-1,3.581003265E0,9.109456787E0
1.111144000E0,-9.732760620E-1,3.551813965E0,9.136999512E0
1.121075000E0,-9.957293701E-1,3.509002991E0,9.136251068E0
1.131007000E0,-1.023122406E0,3.512296143E0,9.112450562E0
1.140938000E0,-1.012344818E0,3.554957428E0,9.087302856E0
1.150869000E0,-1.004111938E0,3.597319336E0,9.098529510E0
1.160801000E0,-9.996212769E-1,3.587439880E0,9.090596008E0
1.170732000E0,-9.958790588E-1,3.544628906E0,9.081464996E0
1.180664000E0,-9.744735718E-1,3.496279449E0,9.028325500E0
1.190595000E0,-9.797126770E-1,3.471730499E0,8.978778534E0
1.200526000E0,-1.006506958E0,3.510948944E0,8.995094604E0
1.210458000E0,-1.040635986E0,3.562292175E0,9.058862000E0
1.220389000E0,-9.836045837E-1,3.581751709E0,9.091643829E0
1.230320000E0,-9.243278503E-1,3.576213226E0,9.117090912E0
1.240252000E0,-9.346563721E-1,3.554208984E0,9.122180328E0
1.250183000E0,-9.581575012E-1,3.554807739E0,9.130263519E0
1.260114000E0,-9.930349731E-1,3.578907623E0,9.114845581E0
1.270046000E0,-9.997709656E-1,3.592379608E0,9.052126007E0
1.279977000E0,-9.845027161E-1,3.560196533E0,9.012159119E0
1.289908000E0,-9.851014709E-1,3.509601746E0,9.001980286E0
1.299840000E0,-9.874964905E-1,3.497177582E0,8.999136200E0
1.309771000E0,-9.861492920E-1,3.547323303E0,8.966054993E0
1.319703000E0,-9.737251282E-1,3.608246613E0,8.990454254E0
1.329634000E0,-9.497749329E-1,3.649560699E0,9.052425385E0
1.339565000E0,-9.346563721E-1,3.623963928E0,9.099577332E0
1.349497000E0,-9.153465271E-1,3.553011475E0,9.115594025E0
1.359428000E0,-9.243278503E-1,3.458408203E0,9.090296631E0
1.369359000E0,-9.696835327E-1,3.429667969E0,9.095835114E0
1.379291000E0,-9.969268799E-1,3.479664001E0,9.143436127E0
1.389222000E0,-9.842033386E-1,3.517984314E0,9.153614960E0
1.399153000E0,-9.327104187E-1,3.494183807E0,9.120533752E0
1.409085000E0,-8.919950867E-1,3.478017426E0,9.034462738E0
1.419016000E0,-8.866062927E-1,3.479364624E0,8.909921722E0
1.428947000E0,-9.095086670E-1,3.543431396E0,8.826694794E0
1.438879000E0,-9.731263733E-1,3.643722839E0,8.823850708E0
1.448810000E0,-1.024319916E0,3.710783386E0,8.918603668E0
1.458742000E0,-1.018182678E0,3.703448639E0,9.017547913E0
1.468673000E0,-9.598040771E-1,3.659140778E0,9.114097137E0
1.478604000E0,-9.159452820E-1,3.578159180E0,9.147777100E0
1.488535750E0,-8.960366821E-1,3.550017700E0,9.172775116E0
1.498466750E0,-8.701405334E-1,3.536396027E0,9.166039124E0
1.508397750E0,-9.213340759E-1,3.526666260E0,9.177415466E0
1.518329750E0,-9.731263733E-1,3.512745209E0,9.219777374E0
1.528260750E0,-9.797126770E-1,3.487896881E0,9.237590332E0
1.538191750E0,-9.879455566E-1,3.459905090E0,9.241931305E0
1.548123750E0,-9.786648560E-1,3.469185791E0,9.232500916E0
1.558054750E0,-8.952882385E-1,3.535048828E0,9.227261810E0
1.567985750E0,-8.836125183E-1,3.580254822E0,9.175319824E0
1.577917750E0,-9.475296021E-1,3.576512604E0,9.081315308E0
1.587848750E0,-9.921368408E-1,3.519930267E0,8.981772308E0
1.597779750E0,-1.053658905E0,3.445534973E0,8.956923981E0
1.607711750E0,-1.062939606E0,3.438649292E0,8.974886627E0
1.617642750E0,-1.088835754E0,3.472928009E0,9.009315033E0
1.627574750E0,-1.074465637E0,3.514242096E0,9.026678925E0
1.637505750E0,-1.045426025E0,3.548221436E0,9.033414917E0
1.647436750E0,-1.022523651E0,3.592379608E0,9.015152893E0
1.657368750E0,-1.032552795E0,3.601510620E0,9.032367096E0
1.667299750E0,-1.061442719E0,3.568579102E0,9.059460754E0
1.677230750E0,-1.096320190E0,3.534001007E0,9.062753906E0
1.687162750E0,-1.117276611E0,3.529210968E0,9.067394257E0
1.697093750E0,-1.113085327E0,3.528163147E0,9.076076202E0
1.707024750E0,-1.092278595E0,3.524570618E0,9.083560638E0
1.716956750E0,-1.067430267E0,3.539389801E0,9.065747681E0
1.726887750E0,-1.049916687E0,3.554508362E0,9.041348419E0
1.736818750E0,-1.022074585E0,3.562591553E0,9.022787018E0
1.746750750E0,-1.008303223E0,3.570824432E0,9.043893127E0
1.756681750E0,-1.009650421E0,3.587739258E0,9.072333984E0
1.766613750E0,-1.012943573E0,3.556454315E0,9.119485931E0
1.776544750E0,-1.039588165E0,3.518134003E0,9.125174103E0
1.786475750E0,-1.073268127E0,3.463198242E0,9.112450562E0
1.796407750E0,-1.101858673E0,3.450923767E0,9.112450562E0
1.806338750E0,-1.101259918E0,3.469784546E0,9.175170135E0
1.816269750E0,-1.043330383E0,3.472478943E0,9.231303406E0
1.826201750E0,-9.512718201E-1,3.427871704E0,9.196425934E0
1.836132750E0,-9.174421692E-1,3.409160614E0,9.143136749E0
1.846063750E0,-9.301657104E-1,3.436853027E0,9.116492157E0
1.855995750E0,-9.436376953E-1,3.475323029E0,9.066496124E0
1.865926750E0,-9.292675781E-1,3.520079956E0,9.079519043E0
1.875857750E0,-9.166937256E-1,3.552113342E0,9.097781067E0
1.885789750E0,-8.990304565E-1,3.535348206E0,9.105265503E0
1.895720750E0,-8.824150085E-1,3.500620422E0,9.090745697E0
1.905652750E0,-8.671467590E-1,3.490591278E0,9.040450287E0
1.915583750E0,-8.804690552E-1,3.484004974E0,8.999585266E0
1.925514750E0,-9.319619751E-1,3.492986298E0,9.030570831E0
1.935446750E0,-9.574090576E-1,3.472029877E0,9.066496124E0
1.945377750E0,-9.529183960E-1,3.404819641E0,9.088350677E0
1.955308750E0,-9.442364502E-1,3.358266449E0,9.134005737E0
1.965240750E0,-8.969348145E-1,3.395988007E0,9.179511108E0
1.975171750E0,-8.541238403E-1,3.484753418E0,9.191336517E0
1.985102750E0,-8.445437622E-1,3.501518555E0,9.129814453E0
1.995034750E0,-8.066725159E-1,3.486849060E0,9.017847290E0
2.004965750E0,-7.830216980E-1,3.466491394E0,8.889264679E0
2.014896750E0,-7.908055115E-1,3.498524780E0,8.853788452E0
2.024828750E0,-8.394543457E-1,3.513493652E0,8.920848999E0
2.034759750E0,-8.975335693E-1,3.496728516E0,9.038354645E0
2.044690750E0,-9.500743103E-1,3.472478943E0,9.145681458E0
2.054622750E0,-9.641450500E-1,3.444038086E0,9.183552704E0
2.064553750E0,-9.577084351E-1,3.436104584E0,9.173074493E0
2.074485750E0,-9.440867615E-1,3.443888397E0,9.180109863E0
2.084416750E0,-9.166937256E-1,3.441792755E0,9.163644104E0
2.094347750E0,-8.689430237E-1,3.447929993E0,9.173523560E0
2.104279750E0,-8.062234497E-1,3.447780304E0,9.202862549E0
2.114210750E0,-7.794291687E-1,3.451821899E0,9.206904144E0
2.124141750E0,-7.979905701E-1,3.404071198E0,9.123377838E0
2.134073750E0,-8.599617004E-1,3.402723999E0,9.016350403E0
2.144004750E0,-9.256750488E-1,3.452420654E0,8.913963318E0
2.153935750E0,-9.514215088E-1,3.487597504E0,8.833131409E0
2.163867750E0,-9.366023254E-1,3.523223419E0,8.841963043E0
2.173798750E0,-9.406439209E-1,3.521876221E0,8.893905029E0
2.183729750E0,-9.518705750E-1,3.486998749E0,8.971743164E0
2.193661750E0,-9.765692139E-1,3.426973572E0,9.027577057E0
2.203592750E0,-9.891430664E-1,3.396736450E0,9.101672974E0
2.213523750E0,-9.991722107E-1,3.404071198E0,9.209149475E0
2.223455750E0,-9.728269958E-1,3.437451782E0,9.283694458E0
2.233386750E0,-9.252259827E-1,3.438050537E0,9.250164185E0
2.243318750E0,-9.101074219E-1,3.405568085E0,9.164542236E0
2.253249750E0,-9.300160217E-1,3.399879913E0,9.095086670E0
2.263180750E0,-9.668394470E-1,3.387455750E0,9.091194763E0
2.273112750E0,-9.746232605E-1,3.385360107E0,9.139993286E0
2.283043750E0,-9.536668396E-1,3.412453766E0,9.184450836E0
2.292974750E0,-9.261241150E-1,3.414399719E0,9.189689941E0
2.302906750E0,-9.107061768E-1,3.383414154E0,9.126521301E0
2.312837750E0,-9.469308472E-1,3.350332947E0,9.031768341E0
2.322768750E0,-9.969268799E-1,3.381168823E0,8.986861725E0
2.332700750E0,-1.005309448E0,3.448678436E0,9.013656006E0
2.342631750E0,-9.818083191E-1,3.470682678E0,9.092541962E0
2.352562750E0,-9.580078125E-1,3.448229370E0,9.188642120E0
2.362494750E0,-9.315129089E-1,3.437900848E0,9.253307648E0
2.372425750E0,-9.225315857E-1,3.431015167E0,9.266330566E0
2.382357750E0,-9.279203796E-1,3.419638824E0,9.219028931E0
