"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.993587497E-2,-3.607797623E-1,-8.730406165E-1,7.188201696E-2
2.986687503E-2,-5.370559692E-1,-9.059050679E-1,6.923642755E-2
3.979787498E-2,-7.022960782E-1,-9.479262233E-1,3.153933957E-2
4.972987494E-2,-8.144614697E-1,-9.841513634E-1,-5.010683089E-3
5.966087501E-2,-8.507691622E-1,-9.485169649E-1,-1.660314575E-2
6.959187496E-2,-8.391470909E-1,-8.540530205E-1,9.082509205E-3
7.952387503E-2,-7.963329554E-1,-7.339319587E-1,7.970973849E-2
8.945487498E-2,-7.310032248E-1,-6.643560529E-1,1.872010380E-1
9.938687505E-2,-6.393488050E-1,-6.592792869E-1,3.158149123E-1
1.093178750E-1,-5.378964543E-1,-6.968634129E-1,4.350457191E-1
1.192488750E-1,-4.332266748E-1,-7.706335783E-1,5.377119780E-1
1.291808750E-1,-3.433077037E-1,-8.649017811E-1,5.954506397E-1
1.391118750E-1,-2.847408354E-1,-9.500303268E-1,6.025217175E-1
1.490428750E-1,-2.569624484E-1,-9.974558949E-1,5.638777018E-1
1.589748750E-1,-2.738330066E-1,-1.005636454E0,4.827857316E-1
1.689058749E-1,-3.066671193E-1,-9.862038493E-1,3.921032250E-1
1.788368750E-1,-3.464986980E-1,-9.200252295E-1,3.114261329E-1
1.887688750E-1,-3.889271319E-1,-7.931290269E-1,2.430952787E-1
1.986998750E-1,-4.428735077E-1,-6.080664396E-1,1.980883777E-1
2.086308750E-1,-4.983604848E-1,-3.907256126E-1,1.810382903E-1
2.185628749E-1,-5.455961823E-1,-1.772509366E-1,1.677466035E-1
2.284938750E-1,-5.740779042E-1,7.862460800E-3,1.586308777E-1
2.384258750E-1,-5.728710294E-1,1.493777186E-1,1.399428099E-1
2.483568750E-1,-5.548382401E-1,2.266256362E-1,1.033837348E-1
2.582878750E-1,-5.158141255E-1,2.232671529E-1,6.347918510E-2
2.682198749E-1,-4.549918175E-1,1.826305091E-1,2.327184565E-2
2.781508750E-1,-3.950819969E-1,1.232548803E-1,1.056322642E-2
2.880818750E-1,-3.440348208E-1,5.692966282E-2,1.264182292E-2
2.980138750E-1,-3.202175498E-1,-6.738623139E-3,3.428221494E-2
3.079448750E-1,-3.091315925E-1,-8.593331277E-2,7.262134552E-2
3.178758750E-1,-3.027455807E-1,-1.689185649E-1,1.114607975E-1
3.278078750E-1,-2.914761305E-1,-2.537882030E-1,1.454656273E-1
3.377388750E-1,-2.733747065E-1,-3.235974312E-1,1.636714786E-1
3.476698750E-1,-2.648581862E-1,-3.629112840E-1,1.680457294E-1
3.576018750E-1,-2.552023530E-1,-3.918226063E-1,1.629748642E-1
3.675328750E-1,-2.617095113E-1,-4.273984432E-1,1.620142758E-1
3.774648750E-1,-2.814897895E-1,-4.529260993E-1,1.640023738E-1
3.873958749E-1,-3.148818314E-1,-4.782194793E-1,1.643829346E-1
3.973268750E-1,-3.534333408E-1,-5.341799259E-1,1.713703424E-1
4.072588750E-1,-3.943453431E-1,-5.832816362E-1,1.926785558E-1
4.171898750E-1,-4.267291427E-1,-5.736216307E-1,2.146982551E-1
4.271208750E-1,-4.558665454E-1,-4.897651076E-1,2.372727990E-1
4.370528749E-1,-4.855834842E-1,-3.474189937E-1,2.347529382E-1
4.469838750E-1,-5.203465223E-1,-2.026298642E-1,2.079383731E-1
4.569148750E-1,-5.510393977E-1,-9.814376384E-2,1.690017879E-1
4.668468750E-1,-5.731175542E-1,-3.087098338E-2,1.357804537E-1
4.767778750E-1,-5.835087895E-1,-2.674094867E-3,1.132273003E-1
4.867088750E-1,-5.657963753E-1,-1.538855769E-2,1.101827696E-1
4.966410000E-1,-5.239868760E-1,-4.752998054E-2,1.233699471E-1
5.065720000E-1,-4.607064128E-1,-8.127489686E-2,1.505808085E-1
5.165039999E-1,-3.879433870E-1,-1.101579592E-1,1.741581708E-1
5.264350000E-1,-3.107612431E-1,-1.099547595E-1,1.877211183E-1
5.363660000E-1,-2.403967083E-1,-1.066088527E-1,1.812273562E-1
5.462980000E-1,-1.835382134E-1,-1.108323559E-1,1.579681039E-1
5.562290000E-1,-1.261160523E-1,-1.007563695E-1,1.331954002E-1
5.661600000E-1,-8.469272405E-2,-6.518159807E-2,1.134216934E-1
5.760920000E-1,-4.772095382E-2,-2.607229725E-2,9.688946605E-2
5.860230000E-1,-1.843417250E-2,1.038684044E-3,8.341759443E-2
5.959540000E-1,-4.301838111E-3,2.250396833E-2,6.757024676E-2
6.058860000E-1,-2.190217376E-3,3.029371612E-2,5.445257947E-2
6.158170000E-1,-1.009329315E-2,3.242011741E-2,4.488669708E-2
6.257480000E-1,-2.468768135E-2,3.460976854E-2,4.475646839E-2
6.356799999E-1,-3.499903530E-2,3.711945936E-2,5.132491142E-2
6.456110000E-1,-3.711571544E-2,3.852880374E-2,6.906981766E-2
6.555430000E-1,-2.453952096E-2,3.918739036E-2,9.661602974E-2
6.654740000E-1,-5.648387130E-3,4.835239053E-2,1.150666773E-1
6.754050000E-1,4.482385702E-3,6.551339477E-2,1.157091931E-1
6.853369999E-1,-1.787494868E-3,6.611394137E-2,9.506596625E-2
6.952680000E-1,-1.631807536E-2,5.530270934E-2,6.064417958E-2
7.051990000E-1,-3.229064867E-2,4.046650603E-2,2.224405855E-2
7.151310000E-1,-5.317254737E-2,2.976191416E-2,-1.022566669E-2
7.250620000E-1,-7.135394216E-2,-1.128565148E-2,-2.454362065E-2
7.349930000E-1,-8.635374904E-2,-5.869414657E-2,-1.406783890E-2
7.449250000E-1,-9.345400333E-2,-9.587293863E-2,1.367617399E-2
7.548560000E-1,-1.012944132E-1,-1.182659268E-1,4.534725472E-2
7.647880000E-1,-9.961608797E-2,-1.359557062E-1,7.203905284E-2
7.747190000E-1,-8.380783349E-2,-1.406154335E-1,8.575806022E-2
