"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.655675254096199E9,"2022-06-19 23:47:34.096 UTC+02:00"
"PAUSE",3.073018354583764E2,1.655675561469692E9,"2022-06-19 23:52:41.470 UTC+02:00"
